City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
488,santa lucia,ES,27.9117,-15.5407,58.32,63.0,20.0,21.85,few clouds
489,trikala,GR,39.5553,21.7675,57.97,80.0,98.0,1.68,overcast clouds
490,yinchuan,CN,38.4681,106.2731,61.66,10.0,0.0,5.19,clear sky
491,oistins,BB,13.0667,-59.5333,78.89,83.0,40.0,16.11,scattered clouds
493,moyale,KE,3.5167,39.0584,65.91,86.0,90.0,3.36,light rain
494,coquimbo,CL,-29.9533,-71.3436,55.13,87.0,0.0,4.61,clear sky
495,kunya,NG,12.2233,8.5325,84.07,46.0,98.0,10.29,overcast clouds
496,geraldton,AU,-28.7667,114.6,75.61,35.0,0.0,14.97,clear sky
498,pokaran,IN,26.9167,71.9167,92.79,25.0,0.0,11.86,clear sky
499,lagunas,PE,-5.2269,-75.6753,71.19,99.0,33.0,2.73,scattered clouds
500,la rioja,ES,42.25,-2.5,40.78,78.0,99.0,4.59,overcast clouds
501,ocara,BR,-4.4908,-38.5967,72.18,94.0,88.0,2.24,overcast clouds
502,saint-pierre,RE,-21.3393,55.4781,74.88,75.0,0.0,8.05,clear sky
503,acajutiba,BR,-11.6622,-38.0172,69.35,92.0,93.0,4.59,overcast clouds
504,gogrial,SS,8.5332,28.1004,80.15,59.0,68.0,7.72,broken clouds
505,oranjestad,AW,12.524,-70.027,82.35,83.0,20.0,21.85,few clouds
506,acarau,BR,-2.8856,-40.12,77.04,86.0,83.0,6.53,broken clouds
507,daru,PG,-9.0763,143.2092,74.77,92.0,100.0,6.17,overcast clouds
508,biscarrosse,FR,44.3945,-1.1672,51.75,100.0,20.0,2.3,mist
509,dapaong,TG,10.8639,0.205,83.98,46.0,45.0,8.23,scattered clouds
510,san isidro,PE,-12.1167,-77.05,69.01,76.0,0.0,16.11,clear sky
511,dong hoi,VN,17.4833,106.6,75.92,94.0,100.0,2.55,moderate rain
512,appleton,US,44.2619,-88.4154,50.09,81.0,100.0,20.71,overcast clouds
513,la ligua,CL,-32.4524,-71.2311,57.67,71.0,0.0,1.59,clear sky
514,lamu,KE,-2.2717,40.902,82.62,82.0,97.0,13.15,light rain
515,matagami,CA,49.7502,-77.6328,33.91,60.0,0.0,0.0,clear sky
516,lake charles,US,30.2131,-93.2044,74.98,92.0,0.0,5.75,clear sky
517,yei,SS,4.095,30.6779,64.18,83.0,89.0,1.9,overcast clouds
518,zelenoborsk,RU,61.4669,64.0333,37.65,49.0,33.0,11.01,scattered clouds
519,sakata,JP,38.9167,139.855,48.38,93.0,75.0,5.75,light intensity shower rain
522,thompson,CA,55.7435,-97.8558,33.96,69.0,100.0,11.5,overcast clouds
523,kamaishi,JP,39.2667,141.8833,46.92,96.0,100.0,5.57,light rain
524,stephenville,US,32.2207,-98.2023,69.93,38.0,0.0,5.75,clear sky
525,gurjaani,GE,41.7429,45.8011,58.8,87.0,96.0,1.63,overcast clouds
526,goure,NE,13.9835,10.2704,89.02,35.0,88.0,8.01,overcast clouds
527,rocha,UY,-34.4833,-54.3333,54.28,78.0,99.0,3.6,overcast clouds
528,sulangan,PH,11.1373,123.7228,82.67,71.0,100.0,7.56,overcast clouds
529,beringovskiy,RU,63.05,179.3167,27.46,94.0,100.0,18.25,light snow
530,zholymbet,KZ,51.7433,71.7122,58.44,65.0,100.0,12.17,overcast clouds
531,saint-francois,FR,46.4154,3.9054,39.67,100.0,31.0,0.0,mist
532,fortuna,US,40.5982,-124.1573,55.92,79.0,100.0,8.05,overcast clouds
533,catio,GW,11.2833,-15.25,75.33,74.0,27.0,3.49,scattered clouds
534,angoche,MZ,-16.2325,39.9086,71.08,91.0,25.0,7.49,scattered clouds
536,saskylakh,RU,71.9167,114.0833,12.43,88.0,100.0,16.58,overcast clouds
537,baghdad,IQ,33.3406,44.4009,75.83,40.0,65.0,8.12,broken clouds
538,ahuimanu,US,21.4447,-157.8378,82.11,68.0,20.0,17.27,few clouds
539,tibati,CM,6.4667,12.6333,67.15,95.0,100.0,2.89,overcast clouds
540,camacha,PT,33.0833,-16.3333,60.22,82.0,40.0,10.36,scattered clouds
541,nador,MA,35.174,-2.9287,57.45,54.0,0.0,5.75,clear sky
542,mehamn,NO,71.0357,27.8492,28.38,65.0,100.0,16.89,overcast clouds
543,molina,CL,-35.1167,-71.2833,47.93,87.0,0.0,4.61,clear sky
544,cochrane,CA,51.1834,-114.4687,52.39,43.0,100.0,6.91,light rain
545,muzhi,RU,65.3667,64.6667,25.99,87.0,95.0,4.61,overcast clouds
546,kemri,IN,28.8167,79.2167,86.99,40.0,40.0,18.16,scattered clouds
547,kondagaon,IN,19.6,81.6667,93.85,28.0,26.0,8.34,scattered clouds
548,cuamba,MZ,-14.8031,36.5372,59.07,96.0,0.0,3.33,clear sky
549,goksun,TR,38.021,36.4973,50.99,81.0,100.0,4.94,overcast clouds
550,khorixas,NA,-20.3667,14.9667,66.45,45.0,0.0,5.32,clear sky
551,port blair,IN,11.6667,92.75,86.04,74.0,40.0,1.14,mist
552,gizo,SB,-8.103,156.8419,84.06,70.0,51.0,1.39,light rain
553,hobart,AU,-42.8794,147.3294,64.22,67.0,40.0,16.11,scattered clouds
555,yaan,NG,7.3833,8.5667,77.56,82.0,100.0,4.97,light rain
556,gisborne,NZ,-38.6533,178.0042,64.98,65.0,0.0,8.95,clear sky
557,sisimiut,GL,66.9395,-53.6735,16.7,64.0,18.0,8.5,few clouds
558,maltahohe,NA,-24.8333,16.9833,52.03,36.0,0.0,9.69,clear sky
559,balikpapan,ID,-1.2675,116.8289,81.59,83.0,75.0,2.3,light rain
560,cap malheureux,MU,-19.9842,57.6142,72.46,86.0,11.0,1.01,few clouds
561,inhambane,MZ,-23.865,35.3833,66.88,91.0,0.0,5.46,clear sky
562,bolobo,CD,-2.1667,16.2333,71.28,88.0,43.0,0.87,scattered clouds
563,lixourion,GR,38.2019,20.4314,60.85,87.0,100.0,5.28,overcast clouds
564,hirara,JP,24.8,125.2833,71.87,94.0,75.0,26.46,broken clouds
565,mikuni,JP,36.2171,136.1519,51.71,90.0,100.0,2.48,light rain
566,sao felix do xingu,BR,-6.6447,-51.995,70.09,98.0,21.0,1.25,few clouds
567,gwanda,ZW,-20.9333,29.0,59.27,76.0,4.0,11.79,clear sky
568,bereda,ES,43.2686,-7.5406,51.15,100.0,3.0,0.85,clear sky
569,puerto del rosario,ES,28.5004,-13.8627,64.15,82.0,0.0,11.5,clear sky
570,asfi,MA,32.2994,-9.2372,61.5,78.0,1.0,9.71,clear sky
571,salisbury,GB,51.0693,-1.7957,49.8,79.0,100.0,4.61,overcast clouds
572,blackwater,AU,-23.5833,148.8833,84.0,38.0,19.0,12.01,few clouds
574,bowen,AU,-20.0167,148.2333,77.9,75.0,12.0,17.18,few clouds
575,muisne,EC,0.6,-80.0333,76.86,84.0,98.0,5.64,overcast clouds
576,niono,ML,14.2526,-5.993,89.96,22.0,43.0,6.17,scattered clouds
577,lunenburg,CA,44.3835,-64.3155,37.49,83.0,100.0,13.8,overcast clouds
578,salta,AR,-24.7859,-65.4117,56.57,90.0,100.0,8.05,overcast clouds
579,morros,BR,-9.4467,-46.3003,73.06,61.0,88.0,2.13,overcast clouds
580,kandi,BJ,11.1342,2.9386,81.73,55.0,74.0,6.91,broken clouds
581,ushuaia,AR,-54.8,-68.3,40.66,70.0,20.0,12.66,few clouds
